lat, lng, stat, tr_id, rt_id, prv, occ, expctd_arrival,schdl_arrival, pnctDf, late, early, on_time, wthrDscr, tmp, vis
50.086944580078125,-123.03594970703125,2,143144,6,BC_Transit_Whistler,0,1678251780,20:57:00,6,True,False,False,broken clouds,270.63,10000
50.08694076538086,-123.03631591796875,2,143294,6,BC_Transit_Whistler,2,1678251780,21:03:00,0,False,False,True,broken clouds,270.63,10000
50.11336135864258,-122.95219421386719,2,143069,20,BC_Transit_Whistler,0,1678251780,20:58:00,5,True,False,False,broken clouds,270.01,10000
49.24516296386719,-124.79554748535156,1,2040470,4,BC_Transit_Port_Alberni,0,1678253337,21:05:00,23,True,False,False,overcast clouds,276.14,10000
49.24516296386719,-124.79554748535156,1,2040470,4,BC_Transit_Port_Alberni,0,1678253337,21:30:00,-2,False,True,False,overcast clouds,276.14,10000
49.869712829589844,-124.53695678710938,2,2216425,1,BC_Transit_Powell_River,0,1678251804,21:02:00,1,True,False,False,scattered clouds,277,10000
49.572147369384766,-117.22937774658203,2,2238649,10,BC_Transit_West_Kootenay,0,1678251775,21:02:00,0,False,False,True,broken clouds,272.24,10000
49.491966247558594,-117.28601837158203,2,2238722,1,BC_Transit_West_Kootenay,0,1678251824,21:02:00,1,True,False,False,broken clouds,271.74,10000
49.491966247558594,-117.28601837158203,2,2238722,1,BC_Transit_West_Kootenay,0,1678251824,21:02:00,1,True,False,False,broken clouds,271.74,10000
49.491966247558594,-117.28601837158203,2,2238722,1,BC_Transit_West_Kootenay,0,1678251824,21:02:00,1,True,False,False,broken clouds,271.74,10000
49.491966247558594,-117.28601837158203,2,2238722,1,BC_Transit_West_Kootenay,0,1678251824,21:02:00,1,True,False,False,broken clouds,271.74,10000
53.91770553588867,-122.78396606445312,2,1988915,89,BC_Transit_Prince_George,0,1678251783,21:03:00,0,False,False,True,few clouds,264.79,10000
53.91844940185547,-122.78228759765625,1,1989343,55,BC_Transit_Prince_George,0,1678251499,21:02:00,-4,False,True,False,few clouds,264.79,10000
53.91481018066406,-122.74600982666016,2,1989279,5,BC_Transit_Prince_George,0,1678251753,21:05:00,-3,False,True,False,few clouds,264.69,10000
53.91827392578125,-122.78224182128906,1,1989007,1,BC_Transit_Prince_George,0,1678253501,21:03:00,28,True,False,False,few clouds,264.79,10000
53.91827392578125,-122.78224182128906,1,1989007,1,BC_Transit_Prince_George,0,1678253501,21:32:00,-1,False,True,False,few clouds,264.79,10000
50.021339416503906,-125.24212646484375,2,2207837,2,BC_Transit_Campbell_River,0,1678251775,21:03:00,-1,False,True,False,broken clouds,276.78,10000
50.02060317993164,-125.23790740966797,2,2207709,3,BC_Transit_Campbell_River,0,1678251789,21:02:00,1,True,False,False,broken clouds,276.78,10000
49.45956802368164,-123.7370376586914,2,2084270,1,BC_Transit_Sunshine_Coast,0,1678251781,20:58:00,5,True,False,False,broken clouds,278.34,10000
49.42613220214844,-123.48246002197266,2,2084260,1,BC_Transit_Sunshine_Coast,0,1678251778,20:55:00,7,True,False,False,broken clouds,277.78,10000
